old_path,action,redirect_target,reason,priority
# ══════════════════════════════════════════════════════════
# SECTION 1: KEEP — ห้ามแตะ slug/canonical (21 URLs)
# ══════════════════════════════════════════════════════════
/รับซื้อกล้อง/รับซื้อกล้องมือสอง-ขอนแ/,keep,,134 คลิก อันดับ 5.18 หน้าสร้างรายได้สูงสุด,—
/รับซื้อกล้อง/รับซื้อกล้องมือสอง-มหาส/,keep,,36 คลิก,—
/รับซื้อกล้อง/รับซื้อกล้องมือสอง-ร้อย/,keep,,35 คลิก,—
/รับซื้อกล้อง/ร้านรับซื้อกล้องอุบลรา/,keep,,28 คลิก,—
/รับซื้อกล้อง/ร้านรับซื้อกล้องสุราษฎ/,keep,,25 คลิก,—
/รับซื้อกล้อง/ร้านรับซื้อกล้องเชียงร/,keep,,24 คลิก,—
/รับซื้อกล้อง/ร้านรับซื้อกล้องลำปาง/,keep,,23 คลิก,—
/รับซื้อกล้อง/ร้านรับซื้อกล้องตรัง/,keep,,23 คลิก,—
/รับซื้อกล้อง/รับซื้อกล้องมือสอง-บุรี/,keep,,21 คลิก,—
/รับซื้อกล้อง/ร้านรับซื้อกล้องลพบุรี/,keep,,21 คลิก CTR 15.67%,—
/รับซื้อกล้อง/ร้านรับซื้อกล้องปราจีน/,keep,,19 คลิก อันดับ 4.32,—
/รับซื้อกล้อง/ร้านรับซื้อกล้องพะเยา/,keep,,17 คลิก CTR 24.64%,—
/รับซื้อกล้อง/ร้านรับซื้อกล้องอุดรธา/,keep,,14 คลิก CTR 17.72%,—
/article/shutter-count/,keep,,13 คลิก 945 impressions demand สูงมาก,—
/รับซื้อกล้อง/รับซื้อกล้องมือสอง-ศรีส/,keep,,13 คลิก,—
/รับซื้อกล้อง/ร้านรับซื้อกล้องกาญจนบ/,keep,,13 คลิก CTR 14.61%,—
/รับซื้อกล้อง/ร้านรับซื้อกล้องพิษณุโ/,keep,,12 คลิก 217 impressions,—
/รับซื้อกล้อง/ร้านรับซื้อกล้องนครสวร/,keep,,12 คลิก,—
/รับซื้อกล้อง/ร้านรับซื้อกล้องชุมพร/,keep,,12 คลิก,—
/article/กล้อง-360-องศา/,keep,,11 คลิก 521 impressions,—
/article/วิธีแพ็คกล้อง/,keep,,11 คลิก intent ตรงธุรกิจ,—
# ══════════════════════════════════════════════════════════
# SECTION 2: IMPROVE — ปรับ Title/Meta/CTA (ไม่ redirect)
# ══════════════════════════════════════════════════════════
/,improve,,8 คลิก อันดับ 10.81 เพิ่ม internal link ไปหน้าจังหวัด,high
/รับซื้อกล้อง/รับซื้อกล้องมือสอง-กาฬส/,improve,,7 คลิก อันดับ 8.85 เพิ่มเนื้อหา,high
/article/กล้องบริดจ์/,improve,,183 impressions CTR 3.28% ปรับ Title+CTA,high
/article/sony-a7iii-vs-a7iv/,improve,,6 คลิก เพิ่ม CTA ขายกล้อง Sony,high
/รับซื้อกล้อง/ร้านรับซื้อกล้องสุรินท/,improve,,6 คลิก เพิ่มเนื้อหา,high
/รับซื้อกล้อง/รับซื้อกล้องมือสอง-หนอ-2/,improve,,5 คลิก เพิ่มเนื้อหา,high
/article/กล้อง-dslr-คืออะไร/,improve,,709 impressions CTR 0.42% ปรับ Title+CTA เร่งด่วน,high
/article/กล้องถ่ายรูปมีกี่ชนิด/,improve,,215 impressions CTR 0% ปรับ Title+CTA,high
# ══════════════════════════════════════════════════════════
# SECTION 3: WATCH — เฝ้าดูก่อน มีบาง performance
# ══════════════════════════════════════════════════════════
/tag/ร้านรับซื้อกล้อง-สกลนคร/,watch,,14 คลิก 58 impressions สร้างหน้าจังหวัดสกลนครก่อน แล้วค่อย 301 tag,high
/tag/ร้านรับซื้อกล้อง-นครสวร/,watch,,9 คลิก มีหน้าจังหวัดรับอยู่แล้ว 301 ได้ทันที,high
/tag/รับซื้อกล้องสระบุรี/,watch,,2 คลิก พิจารณาสร้างหน้าสระบุรีก่อน,medium
/รับซื้อกล้อง/ร้านรับซื้อกล้องตาก/,watch,,5 คลิก อันดับ 5.65,medium
/กล้อง/ร้านรับซื้อกล้อง-สกลนคร/,watch,,5 คลิก อันดับ 6.66,medium
/กล้อง/รับซื้อกล้องถ่ายรูปมื-15/,watch,,5 คลิก CTR 22.73%,medium
/กล้อง/รับซื้อกล้องพร้อมเลนส์-9/,watch,,5 คลิก CTR 25%,medium
/กล้อง/ปล่อยกล้องมือสอง-สุรินท/,watch,,4 คลิก CTR 30.77%,medium
/รับซื้อกล้อง/ร้านรับซื้อกล้องน่าน/,watch,,3 คลิก,medium
/รับซื้อกล้อง/ร้านรับซื้อกล้องกาฬสิน/,watch,,3 คลิก,medium
/กล้อง/รับซื้อกล้องดิจิตอลมือ-3/,watch,,3 คลิก CTR 25%,medium
/กล้อง/รับซื้อกล้องเลนส์ราขึ้/,watch,,3 คลิก CTR 42.86%,medium
/รับซื้อกล้อง/ร้านรับซื้อกล้องกำแพงเ/,watch,,2 คลิก 44 impressions,medium
/review/,watch,,2 คลิก 44 impressions,medium
/กล้อง/รับซื้อกล้องเสียบางอาก-5/,watch,,2 คลิก 36 impressions,medium
/รับซื้อกล้อง/รับซื้อกล้องมือสอง-สุริ/,watch,,2 คลิก อันดับ 12.12,medium
/กล้อง/รับซื้อกล้อง-mirrorless-มือสอง-หน/,watch,,2 คลิก CTR 12.5%,medium
/กล้อง/รับซื้อกล้องถ่ายรูปมื-10/,watch,,2 คลิก CTR 12.5%,medium
/กล้อง/รับซื้อกล้องมือสอง-ใกล-5/,watch,,2 คลิก CTR 12.5%,medium
/กล้อง/รับซื้อกล้องมือสอง-ปากช/,watch,,2 คลิก CTR 20%,medium
/รับซื้อกล้อง/ร้านรับซื้อกล้องตราด/,watch,,2 คลิก CTR 20%,medium
